dist;freq1;freq2;dist_moy;mot_FR;mot_EN;bon ?;pourcentage
0,017974413;35;35;0,000513555; renard ; fox ;1;1
0,007325036;12;12;0,00061042; volcans ; volcanoes ;1;1
0,021183225;32;34;0,000641916; roi ; king ;1;1
0,009631847;12;13;0,000770548; vaniteux ; conceited ;1;1
0,004634281;5;7;0,00077238; général ; general ;1;1
0,00641312;7;8;0,000855083; aiguilleur ; switchman ;1;1
0,298899957;296;360;0,00091128; et ; and ;1;1
0,021828498;20;23;0,001015279; géographe ; geographer ;1;1
0,007568024;7;7;0,001081146; adieu ; goodbye ;1;1
0,507567656;493;360;0,001190077; le ; and ;0;0,9
0,00610889;5;5;0,001221778; monsieur ; gentleman ;1;0,909090909
0,068025942;51;59;0,001236835; fleur ; flower ;1;0,916666667
0,487677558;425;360;0,001242491; de ; and ;0;0,846153846
0,266149388;207;197;0,001317571; prince ; prince ;1;0,857142857
0,013261077;9;11;0,001326108; explorateur ; explorer ;1;0,866666667
0,296531414;238;197;0,001363363; petit ; prince ;0;0,8125
0,519304023;380;360;0,001403524; il ; and ;0;0,764705882
0,007165344;5;5;0,001433069; montagnes ; mountains ;1;0,777777778
0,41571056;275;303;0,001438445; est ; is ;1;0,789473684
0,007428256;5;5;0,001485651; poules ; chickens ;1;0,8
0,012102912;8;8;0,001512864; boa ; constrictor ;0;0,761904762
0,490263491;294;338;0,001551467; un ; of ;0;0,727272727
0,10542378;62;71;0,00158532; planète ; planet ;1;0,739130435
0,558482263;336;360;0,001604834; je ; and ;0;0,708333333
0,008160518;5;5;0,001632104; allumeurs ; lamplighters ;1;0,72
0,009894627;7;5;0,001649105; livre ; book ;1;0,730769231
0,241627685;139;150;0,001672164; mais ; but ;1;0,740740741
0,035225347;22;20;0,001677397; grandes ; ups ;1;0,75
0,028967697;17;17;0,001703982; baobabs ; baobabs ;1;0,75862069
0,036663294;21;20;0,001788453; personnes ; ups ;0;0,733333333
0,011084572;6;6;0,001847429; trente ; thirty ;1;0,741935484
0,026266971;14;14;0,001876212; six ; six ;1;0,75
0,555226912;256;323;0,001917882; les ; that ;0;0,727272727
0,025052654;12;13;0,002004212; épines ; thorns ;1;0,735294118
0,010067288;5;5;0,002013458; graines ; seeds ;1;0,742857143
0,020737889;10;10;0,002073789; maison ; house ;1;0,75
0,012719006;6;6;0,002119834; bras ; arms ;1;0,756756757
0,369645419;187;160;0,002130521; pas ; not ;1;0,763157895
0,021303447;8;11;0,002242468; coucher ; sunset ;1;0,769230769
0,45124941;222;177;0,002261902; la ; in ;0;0,75
0,015419411;6;7;0,002372217; oublier ; forget ;1;0,756097561
0,089978055;33;41;0,002431839; mouton ; sheep ;1;0,761904762
0,018522893;7;8;0,002469719; chapeau ; hat ;1;0,76744186
0,012822168;5;5;0,002564434; minute ; minute ;1;0,772727273
0,01314259;5;5;0,002628518; arbustes ; bushes ;1;0,777777778
0,488003088;185;177;0,00269615; à ; in ;1;0,782608696
0,483423357;172;177;0,002770334; ne ; in ;0;0,765957447
0,019462707;7;7;0,002780387; milles ; miles ;1;0,770833333
0,020446496;7;7;0,002920928; voyage ; journey ;1;0,775510204
0,457002424;162;150;0,002929503; d ; but ;0;0,76
0,482794351;150;177;0,002952871; une ; in ;0;0,745098039
0,018430154;6;6;0,003071692; astéroide ; astronomer ;0;0,730769231
0,015419166;5;5;0,003083833; muselière ; muzzle ;1;0,735849057
0,529708319;171;164;0,003162438; l ; my ;0;0,722222222
0,034791735;9;13;0,003162885; consigne ; lamplighter ;0;0,709090909
0,496839659;151;150;0,00330126; n ; but ;0;0,696428571
0,501004439;165;135;0,00334003; que ; for ;0;0,684210526
0,137146395;39;42;0,003386331; étoiles ; stars ;1;0,689655172
0,050335685;13;16;0,003471427; désert ; desert ;1;0,694915254
0,608962975;148;195;0,003550805; dit ; said ;1;0,7
0,557374049;156;150;0,003642968; j ; but ;0;0,68852459
0,536379978;151;141;0,003673835; c ; have ;0;0,677419355
0,0394371;9;12;0,003755914; businessman ; businessman ;1;0,682539683
0,07237916;18;19;0,003912387; pourquoi ; why ;1;0,6875
0,031128256;7;8;0,004150434; apprivoisé ; tamed ;1;0,692307692
0,038136056;8;9;0,004486595; buveur ; tippler ;1;0,696969697
0,623973618;157;119;0,004521548; tu ; his ;0;0,686567164
0,487651207;105;101;0,004734478; qu ; all ;0;0,676470588
0,57494697;133;101;0,004914077; des ; all ;0;0,666666667
0,525747943;118;93;0,004983393; ce ; with ;0;0,657142857
0,489192788;104;81;0,005288571; qui ; very ;0;0,647887324
0,041720745;7;8;0,005562766; ceux ; 000 ;0;0,638888889
0,03639961;6;7;0,00559994; hem ; general ;0;0,630136986
0,525323001;105;81;0,005648634; en ; very ;0;0,621621622
0,50199049;101;75;0,005704437; pour ; then ;0;0,613333333
0,513751737;103;77;0,005708353; me ; if ;0;0,605263158
0,509111123;97;76;0,005885678; ai ; from ;0;0,597402597
0,513960457;97;75;0,005976284; bien ; then ;0;0,58974359
0,096102571;17;15;0,006006411; ami ; friend ;1;0,594936709
0,458529472;75;77;0,006033283; si ; if ;1;0,6
0,49353986;84;77;0,00613093; s ; if ;0;0,592592593
0,081172509;13;13;0,006244039; allumeur ; lamplighter ;1;0,597560976
0,458870382;65;79;0,0063732; dans ; had ;0;0,590361446
0,521693036;74;87;0,006480659; du ; what ;0;0,583333333
0,035860874;6;5;0,006520159; blé ; hour ;0;0,576470588
0,057105511;10;7;0,006718295; enfants ; children ;1;0,581395349
0,523194638;78;75;0,006839146; moi ; then ;0;0,574712644
0,555065938;82;75;0,007070904; a ; then ;0;0,568181818
0,156186083;23;21;0,007099367; terre ; earth ;1;0,573033708
0,561895762;85;71;0,007203792; se ; planet ;0;0,566666667
0,497629355;80;58;0,00721202; comme ; like ;1;0,571428571
0,429624732;62;56;0,007281775; lui ; there ;0;0,565217391
0,521371465;66;77;0,007291909; était ; him ;0;0,559139785
0,465185862;62;56;0,007884506; plus ; when ;0;0,553191489
0,407560597;47;56;0,007913798; y ; there ;0;0,547368421
0,594976026;69;81;0,007933014; sur ; very ;0;0,541666667
0,095284996;11;13;0,007940416; réverbère ; lamplighter ;1;0,546391753
0,443733279;53;58;0,007995194; au ; like ;0;0,540816327
0,336058916;42;41;0,008097805; jamais ; never ;1;0,545454545
0,454461503;56;56;0,008115384; tout ; when ;0;0,54
0,058558594;8;6;0,008365513; possède ; seven ;0;0,534653465
0,11321762;11;15;0,008709048; vingt ; lamp ;0;0,529411765
0,052740023;7;5;0,008790004; boas ; constrictors ;1;0,533980583
0,545911886;71;51;0,008949375; on ; who ;0;0,528846154
0,077323684;8;9;0,009096904; heureux ; happy ;1;0,533333333
0,605538111;66;62;0,009461533; vous ; would ;0;0,528301887
0,405432347;48;37;0,009539585; quand ; made ;0;0,523364486
0,483202517;58;41;0,009761667; ça ; never ;0;0,518518519
0,54434678;61;50;0,00980805; mon ; by ;0;0,513761468
0,490624062;42;56;0,010012736; suis ; am ;1;0,518181818
0,373597954;40;34;0,010097242; puis ; only ;0;0,513513514
0,05656981;5;6;0,01028542; cherchent ; drink ;0;0,508928571
0,305475107;26;33;0,010355088; ou ; or ;1;0,513274336
0,064530694;7;5;0,010755116; premier ; concerned ;0;0,50877193
0,076161051;6;8;0,01088015; aurai ; wall ;0;0,504347826
0,45725953;43;41;0,010887132; peu ; never ;0;0,5
0,44263939;39;42;0,010929368; t ; your ;0;0,495726496
0,225599192;20;21;0,011004839; deux ; two ;1;0,5
0,430250419;37;41;0,011032062; avec ; never ;0;0,495798319
0,513074628;49;44;0,011033863; alors ; an ;0;0,491666667
0,462642472;48;35;0,011148011; avait ; can ;0;0,487603306
0,1966573;18;17;0,01123756; cinq ; five ;1;0,491803279
0,489182741;52;35;0,01124558; m ; did ;0;0,487804878
0,448885033;44;35;0,011364178; sont ; did ;0;0,483870968
0,433316033;39;37;0,011403053; encore ; know ;0;0,48
0,693999202;68;51;0,011663852; elle ; who ;0;0,476190476
0,059694592;5;5;0,011938918; numéro ; talk ;0;0,472440945
0,131513792;12;10;0,011955799; déjà ; already ;1;0,4765625
0,472911223;47;32;0,011972436; par ; been ;0;0,472868217
0,53394697;47;42;0,011998808; ils ; stars ;0;0,469230769
0,072062075;5;7;0,012010346; monarque ; general ;1;0,473282443
0,510458818;47;38;0,012010796; très ; which ;0;0,46969697
0,499485684;48;35;0,0120358; là ; did ;0;0,466165414
0,385490846;37;27;0,012046589; cette ; asked ;0;0,462686567
0,490385127;45;35;0,012259628; rien ; did ;0;0,459259259
0,518674923;47;37;0,012349403; son ; come ;0;0,455882353
0,227719244;19;17;0,012651069; ah ; ah ;1;0,459854015
0,234157754;20;17;0,012657176; trois ; three ;1;0,463768116
0,322325679;27;23;0,012893027; chapitre ; first ;0;0,460431655
0,481105142;43;31;0,013002842; ma ; see ;0;0,457142857
0,421001837;33;31;0,013156307; aussi ; see ;0;0,453900709
0,339399429;26;23;0,013853038; toi ; go ;0;0,450704225
0,451081123;30;35;0,013879419; être ; can ;0;0,447552448
0,44006356;32;31;0,013970272; fait ; see ;0;0,444444444
0,470653269;35;31;0,01426222; répondit ; himself ;0;0,44137931
0,538988889;42;33;0,014373037; elles ; or ;0;0,438356164
0,426497235;28;31;0,014457533; trop ; see ;0;0,43537415
0,450944672;33;29;0,014546602; sa ; t ;0;0,432432432
0,085018131;6;5;0,015457842; serpents ; constrictors ;1;0,436241611
0,085251336;6;5;0,015500243; moutons ; bushes ;0;0,433333333
0,078214375;5;5;0,015642875; mangent ; bushes ;0;0,430463576
0,101982196;7;6;0,015689569; juger ; wind ;0;0,427631579
0,466611991;27;32;0,015817356; jour ; day ;1;0,431372549
0,548144204;40;29;0,015888238; même ; up ;0;0,428571429
0,151978252;11;8;0,015997711; fleurs ; millions ;0;0,425806452
0,089701326;5;6;0,016309332; dessine ; astronomer ;0;0,423076923
0,181263844;9;13;0,016478531; sept ; orders ;0;0,420382166
0,258799358;18;13;0,016696733; hommes ; orders ;0;0,417721519
0,319731;18;20;0,016827947; faut ; must ;1;0,421383648
0,388650198;26;20;0,016897835; donc ; ups ;0;0,41875
0,109954936;6;7;0,016916144; poulie ; pulley ;1;0,422360248
0,16083895;10;9;0,016930416; silence ; silence ;1;0,425925926
0,093761718;5;6;0,017047585; surpris ; somewhere ;0;0,423312883
0,154476215;10;8;0,017164024; sous ; under ;1;0,426829268
0,103279394;7;5;0,017213232; réverbères ; rest ;0;0,424242424
0,129559635;8;7;0,017274618; rit ; pulley ;0;0,421686747
0,086818797;5;5;0,017363759; entendre ; laughter ;0;0,419161677
0,113622637;6;7;0,017480406; hasard ; knew ;0;0,416666667
0,361544654;20;20;0,018077233; chez ; ups ;0;0,414201183
0,108512182;6;6;0,018085364; herbe ; words ;0;0,411764706
0,344036443;18;20;0,018107181; beaucoup ; ups ;0;0,409356725
0,248386843;15;12;0,018399025; été ; years ;0;0,406976744
0,157647027;9;8;0,018546709; peur ; eyes ;0;0,404624277
0,168601576;9;9;0,018733508; coeur ; tame ;0;0,402298851
0,206729206;12;10;0,018793564; rose ; roses ;1;0,405714286
0,178860807;11;8;0,018827453; puits ; switchman ;0;0,403409091
0,358769547;20;18;0,018882608; autres ; into ;0;0,401129944
0,352315939;18;19;0,019044105; oû ; replied ;0;0,398876404
0,115155849;5;7;0,019192642; souvenir ; general ;0;0,396648045
0,10567312;5;6;0,019213295; minutes ; minutes ;1;0,4
0,106203637;5;6;0,019309752; tard ; astronomer ;0;0,397790055
0,212744094;12;10;0,019340372; demanda ; nobody ;0;0,395604396
0,233663465;10;14;0,019471955; matin ; flowers ;0;0,393442623
0,136502612;8;6;0,019500373; unique ; unique ;1;0,39673913
0,195004809;10;10;0,019500481; sable ; sand ;1;0,4
0,519568065;22;31;0,019606342; soleil ; morning ;0;0,397849462
0,325718274;19;14;0,019740501; quoi ; own ;0;0,395721925
0,218440239;11;11;0,019858204; mort ; draw ;0;0,393617021
0,517408148;29;23;0,019900313; te ; go ;0;0,391534392
0,50871634;30;21;0,01994966; ca ; anything ;0;0,389473684
0,37939843;21;17;0,019968338; bonjour ; five ;0;0,387434555
0,120950595;5;7;0,020158433; appris ; learned ;1;0,390625
0,506560833;25;25;0,020262433; toutes ; here ;0;0,388601036
0,349547411;17;17;0,020561612; sans ; looked ;0;0,386597938
0,34035681;17;16;0,020627685; es ; those ;0;0,384615385
0,103454166;5;5;0,020690833; seule ; mountains ;0;0,382653061
0,41405132;23;17;0,020702566; avais ; looked ;0;0,38071066
0,18782727;9;9;0,020869697; ciel ; sky ;1;0,383838384
0,202629117;9;10;0,021329381; petite ; nobody ;0;0,381909548
0,278725214;12;14;0,021440401; vie ; took ;0;0,38
0,118045485;5;6;0,021462815; savent ; drink ;0;0,378109453
0,365794784;18;16;0,02151734; as ; long ;0;0,376237624
0,419898053;22;17;0,021533233; toujours ; always ;1;0,379310345
0,108104168;5;5;0,021620834; aperçut ; coming ;0;0,37745098
0,35909306;16;17;0,021763216; tellement ; baobabs ;0;0,375609756
0,337418506;15;16;0,021768936; ici ; those ;0;0,373786408
0,119835708;6;5;0,021788311; content ; invisible ;0;0,371980676
0,308232909;16;12;0,022016636; vers ; matters ;0;0,370192308
0,298003347;14;13;0,022074322; monde ; world ;1;0,373205742
0,477081412;22;21;0,022189833; sûr ; we ;0;0,371428571
0,267720016;14;10;0,022310001; celui ; far ;0;0,369668246
0,504824425;25;20;0,022436641; leur ; came ;0;0,367924528
0,314616209;15;13;0,022472586; oui ; beautiful ;0;0,366197183
0,359870976;15;17;0,022491936; fut ; s ;0;0,364485981
0,438632399;22;17;0,022493969; peut ; s ;0;0,362790698
0,529665173;27;20;0,022538944; personne ; answered ;0;0,361111111
0,453034978;19;21;0,022651749; seul ; life ;0;0,359447005
0,160075925;6;8;0,022867989; aurais ; millions ;0;0,357798165
0,332370084;13;16;0,022922075; longtemps ; long ;1;0,360730594
0,579646262;29;21;0,02318585; fois ; anything ;0;0,359090909
0,139440879;5;7;0,023240147; celle ; sometimes ;0;0,357466063
0,152933842;7;6;0,023528283; couleur ; color ;0;0,355855856
0,412010154;16;19;0,023543437; sera ; hundred ;0;0,35426009
0,319502451;14;13;0,023666848; chose ; thousand ;0;0,352678571
